stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,2.3162,63.6100,,,,,,,False
pre_recovery,act_svd,0.3750,0,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8507,4.1369,52.1300,,,,,2.0000,0.0000,False
recovery_epoch,act_svd,0.3750,1,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8362,5.0093,57.7200,0.4460,0.4460,1.5608,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.3750,2,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8362,3.6301,58.8700,0.3856,0.3856,1.3970,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.3750,3,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8362,3.9868,60.6800,0.3643,0.3643,1.3431,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.3750,4,,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,,3.7209,60.4300,0.3485,0.3485,1.3064,0.0003,2.0000,0.0000,False
recovery_epoch,act_svd,0.3750,5,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8362,4.3488,60.8100,0.3369,0.3369,1.2786,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.3750,6,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8362,3.9793,61.3000,0.3261,0.3261,1.2542,0.0002,2.0000,0.0000,True
recovery_epoch,act_svd,0.3750,7,,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,,3.9808,60.7400,0.3168,0.3168,1.2242,0.0002,2.0000,0.0000,False
recovery_epoch,act_svd,0.3750,8,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8362,3.8557,61.5000,0.3074,0.3074,1.2007,0.0002,2.0000,0.0000,True
recovery_epoch,act_svd,0.3750,9,,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,,4.7089,61.3000,0.2985,0.2985,1.1781,0.0001,2.0000,0.0000,False
recovery_epoch,act_svd,0.3750,10,,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,,4.0421,61.3700,0.2907,0.2907,1.1578,0.0001,2.0000,0.0000,False
recovery_epoch,act_svd,0.3750,11,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8362,4.0917,61.6400,0.2846,0.2846,1.1439,0.0001,2.0000,0.0000,True
recovery_epoch,act_svd,0.3750,12,,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,,3.7467,61.3100,0.2793,0.2793,1.1317,0.0001,2.0000,0.0000,False
recovery_epoch,act_svd,0.3750,13,,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,,5.6354,61.5000,0.2755,0.2755,1.1172,0.0000,2.0000,0.0000,False
recovery_epoch,act_svd,0.3750,14,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,11.8362,4.5663,61.7300,0.2724,0.2724,1.1143,0.0000,2.0000,0.0000,True
recovery_epoch,act_svd,0.3750,15,,checkpoints/act_svd/act_svd_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3079256,11.7464,,3.2976,61.6500,0.2718,0.2718,1.1206,0.0000,2.0000,0.0000,False
