stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,2.2754,63.6100,,,,,,,False
pre_recovery,pure_svd,0.1875,0,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,6.1331,4.5615,30.5500,,,,,2.0000,0.0000,False
recovery_epoch,pure_svd,0.1875,1,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p1875_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,6.1202,5.1118,47.5100,0.9145,0.9145,2.4509,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1875,2,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p1875_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,6.1202,5.1957,52.1300,0.8095,0.8095,2.1626,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1875,3,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p1875_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,6.1202,5.9622,53.4800,0.7668,0.7668,2.0453,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1875,4,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p1875_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,6.1202,4.5706,54.2200,0.7387,0.7387,1.9746,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1875,5,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p1875_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,6.1202,4.2332,54.3500,0.7207,0.7207,1.9092,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1875,6,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p1875_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,6.1202,4.2213,55.7700,0.7041,0.7041,1.8793,0.0002,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1875,7,,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,,5.6934,55.1800,0.6909,0.6909,1.8343,0.0002,2.0000,0.0000,False
recovery_epoch,pure_svd,0.1875,8,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p1875_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1580716,6.0300,6.1202,4.9881,56.1400,0.6776,0.6776,1.8042,0.0002,2.0000,0.0000,True
