stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,1.9185,63.6100,,,,,,,False
pre_recovery,pure_svd,0.5000,0,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6602,4.9607,56.8100,,,,,2.0000,0.0000,False
recovery_epoch,pure_svd,0.5000,1,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6473,4.4290,61.4200,0.3046,0.3046,1.2247,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.5000,2,,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,,3.7251,60.8800,0.2538,0.2538,1.1211,0.0003,2.0000,0.0000,False
recovery_epoch,pure_svd,0.5000,3,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6473,6.9432,61.7100,0.2372,0.2372,1.1036,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.5000,4,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6473,3.5002,61.7500,0.2274,0.2274,1.0894,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.5000,5,,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,,4.9687,61.1500,0.2182,0.2182,1.0671,0.0003,2.0000,0.0000,False
recovery_epoch,pure_svd,0.5000,6,,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,,4.9529,61.7100,0.2119,0.2119,1.0540,0.0002,2.0000,0.0000,False
recovery_epoch,pure_svd,0.5000,7,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6473,3.4511,61.7700,0.2054,0.2054,1.0442,0.0002,2.0000,0.0000,True
recovery_epoch,pure_svd,0.5000,8,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6473,3.4569,62.0900,0.1994,0.1994,1.0341,0.0002,2.0000,0.0000,True
recovery_epoch,pure_svd,0.5000,9,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6473,6.8540,62.1600,0.1940,0.1940,1.0180,0.0001,2.0000,0.0000,True
recovery_epoch,pure_svd,0.5000,10,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6473,3.4399,62.4200,0.1896,0.1896,1.0075,0.0001,2.0000,0.0000,True
recovery_epoch,pure_svd,0.5000,11,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,15.6473,3.4778,62.8000,0.1850,0.1850,0.9942,0.0001,2.0000,0.0000,True
recovery_epoch,pure_svd,0.5000,12,,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,,3.5012,62.5800,0.1813,0.1813,0.9943,0.0001,2.0000,0.0000,False
recovery_epoch,pure_svd,0.5000,13,,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,,3.5062,62.3700,0.1796,0.1796,0.9877,0.0000,2.0000,0.0000,False
recovery_epoch,pure_svd,0.5000,14,,checkpoints/pure_svd/pure_svd_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,4078380,15.5578,,3.6056,62.2400,0.1772,0.1772,0.9839,0.0000,2.0000,0.0000,False
