source_checkpoint,qat_best_checkpoint,qat_last_checkpoint,family,rank_ratio,max_epochs,qat_mode,qat_modules,source_pre_recovery_top1_accuracy,source_best_top1_accuracy,qat_pre_top1_accuracy,qat_best_top1_accuracy,qat_final_top1_accuracy,qat_best_full_top1_accuracy,qat_final_full_top1_accuracy,fp32_model_size_mb,qat_model_size_mb,estimated_int8_model_size_mb,qat_best_checkpoint_mb,qat_last_checkpoint_mb
/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovered.pth,checkpoints/qat/pure_svd_rank_ratio_0p5_recovered_qat_best.pth,checkpoints/qat/pure_svd_rank_ratio_0p5_recovered_qat_last.pth,pure_svd,0.5000,10,weight-only,147,56.8100,62.8000,63.5938,63.7891,63.5938,,,15.5578,15.9857,4.1188,16.4526,16.4526
/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,checkpoints/qat/hybrid_rank_ratio_0p5_recovered_qat_best.pth,checkpoints/qat/hybrid_rank_ratio_0p5_recovered_qat_last.pth,hybrid_tucker,0.5000,10,weight-only,87,41.2500,62.3900,62.6172,63.7109,63.6719,,,12.6988,12.9691,3.4041,13.3527,13.3527
/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,checkpoints/qat/hybrid_tensorly_rank_ratio_0p5_recovered_qat_best.pth,checkpoints/qat/hybrid_tensorly_rank_ratio_0p5_recovered_qat_last.pth,hybrid_tensorly,0.5000,10,weight-only,87,41.4100,62.5300,62.8516,63.6328,63.5156,,,12.6988,12.9691,3.4041,13.3622,13.3622
/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,checkpoints/qat/pure_svd_rank_ratio_0p25_recovered_qat_best.pth,checkpoints/qat/pure_svd_rank_ratio_0p25_recovered_qat_last.pth,pure_svd,0.2500,10,weight-only,147,38.2200,60.7900,61.2891,61.7578,61.4844,,,7.9362,8.3110,2.2134,8.7792,8.7792
