stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,estimated_int8_model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,source_pre_recovery_top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,qat_mode,observer_enabled,saved_checkpoint
pre_qat,pure_svd,0.2500,0,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,7.9382,2.2134,8.0259,,61.2891,38.2200,,,,,2.0000,0.1000,weight-only,True,False
qat_epoch,pure_svd,0.2500,1,checkpoints/qat/pure_svd_rank_ratio_0p25_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,8.7792,,61.5234,38.2200,0.5417,0.4559,1.3140,0.0000,2.0000,0.1000,weight-only,True,True
qat_epoch,pure_svd,0.2500,2,,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,,,61.0156,38.2200,0.5389,0.4551,1.2935,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,pure_svd,0.2500,3,checkpoints/qat/pure_svd_rank_ratio_0p25_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,8.7792,,61.5625,38.2200,0.5382,0.4547,1.2896,0.0000,2.0000,0.1000,weight-only,False,True
qat_epoch,pure_svd,0.2500,4,checkpoints/qat/pure_svd_rank_ratio_0p25_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,8.7792,,61.7188,38.2200,0.5374,0.4549,1.2806,0.0000,2.0000,0.1000,weight-only,False,True
qat_epoch,pure_svd,0.2500,5,checkpoints/qat/pure_svd_rank_ratio_0p25_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,8.7792,,61.7578,38.2200,0.5340,0.4526,1.2668,0.0000,2.0000,0.1000,weight-only,False,True
qat_epoch,pure_svd,0.2500,6,,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,,,61.7578,38.2200,0.5338,0.4522,1.2682,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,pure_svd,0.2500,7,,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,,,61.6406,38.2200,0.5321,0.4505,1.2672,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,pure_svd,0.2500,8,,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,,,61.5234,38.2200,0.5327,0.4507,1.2703,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,pure_svd,0.2500,9,,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,,,61.7188,38.2200,0.5312,0.4500,1.2619,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,pure_svd,0.2500,10,,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2080424,8.3110,2.2134,,,61.4844,38.2200,0.5307,0.4495,1.2616,0.0000,2.0000,0.1000,weight-only,False,False
