stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,2.3317,63.6100,,,,,,,False
pre_recovery,hybrid_tucker,0.3750,0,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4486,3.5351,21.4800,,,,,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.3750,1,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,3.6969,57.9600,0.5119,0.5119,1.6759,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,2,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,4.4626,59.0900,0.4097,0.4097,1.4483,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,3,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,3.5439,60.0100,0.3818,0.3818,1.3754,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,4,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,4.4862,60.3000,0.3636,0.3636,1.3345,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,5,,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,,3.4644,60.1800,0.3494,0.3494,1.3058,0.0003,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.3750,6,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,7.1660,60.4500,0.3377,0.3377,1.2720,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,7,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,3.5946,60.6100,0.3261,0.3261,1.2492,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,8,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,3.7086,61.1000,0.3171,0.3171,1.2218,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,9,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,3.5971,61.4800,0.3073,0.3073,1.1977,0.0001,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,10,,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,,3.5837,61.0900,0.2994,0.2994,1.1806,0.0001,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.3750,11,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4408,10.5988,61.5800,0.2930,0.2930,1.1647,0.0001,2.0000,0.0000,True
