stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,2.1106,63.6100,,,,,,,False
pre_recovery,hybrid_tucker,0.2500,0,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2738,3.4546,6.7500,,,,,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.2500,1,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,5.1026,48.3200,0.8762,0.8762,2.4442,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,2,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,6.4762,51.3400,0.7039,0.7039,2.0365,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,3,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,3.3759,55.1800,0.6503,0.6503,1.9023,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,4,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,10.1835,56.1600,0.6160,0.6160,1.8188,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,5,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,5.4651,56.5100,0.5905,0.5905,1.7530,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,6,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,6.1867,57.2400,0.5690,0.5690,1.7075,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,7,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,7.1844,57.4700,0.5533,0.5533,1.6615,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,8,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,9.2626,58.6100,0.5369,0.5369,1.6172,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,9,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,3.4058,59.1200,0.5241,0.5241,1.5913,0.0001,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,10,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,3.6511,59.3800,0.5131,0.5131,1.5598,0.0001,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,11,,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,,6.2233,58.9800,0.5032,0.5032,1.5338,0.0001,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.2500,12,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,6.4174,59.5500,0.4964,0.4964,1.5169,0.0001,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,13,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,7.7251,59.7700,0.4899,0.4899,1.4999,0.0000,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,14,checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovered.pth,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,6.2660,6.9253,59.8200,0.4864,0.4864,1.4907,0.0000,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.2500,15,,checkpoints/hybrid_tensorly/hybrid_tensorly_rank_ratio_0p25.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1622804,6.1905,,5.1184,59.8000,0.4838,0.4838,1.4885,0.0000,2.0000,0.0000,False
