stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,2.5746,63.6100,,,,,,,False
pre_recovery,hybrid_tucker,0.3750,0,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4464,3.3333,22.3800,,,,,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.3750,1,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p375_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4380,3.8031,58.4100,0.5086,0.5086,1.6686,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,2,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p375_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4380,3.3006,59.2600,0.4074,0.4074,1.4419,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,3,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p375_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4380,3.3627,60.0300,0.3798,0.3798,1.3695,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,4,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p375_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4380,3.2649,60.1800,0.3620,0.3620,1.3306,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,5,,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,,3.2073,60.1800,0.3480,0.3480,1.3020,0.0003,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.3750,6,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p375_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4380,4.9042,60.5100,0.3366,0.3366,1.2697,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,7,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p375_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4380,3.5623,60.6600,0.3248,0.3248,1.2467,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.3750,8,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p375_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p375.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,2454980,9.3650,9.4380,7.0498,61.0600,0.3158,0.3158,1.2181,0.0002,2.0000,0.0000,True
