stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,6.8866,63.6100,,,,,,,False
pre_recovery,hybrid_tucker,0.5000,0,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,12.7798,6.2737,41.2500,,,,,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.5000,1,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,12.7714,8.2080,59.4400,0.3145,0.3145,1.3018,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.5000,2,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,12.7714,3.5621,60.1700,0.2660,0.2660,1.1911,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.5000,3,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,12.7714,4.0410,61.2400,0.2508,0.2508,1.1576,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.5000,4,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,12.7714,6.1334,61.3200,0.2416,0.2416,1.1369,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.5000,5,,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,,6.9065,61.2100,0.2329,0.2329,1.1242,0.0003,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.5000,6,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,12.7714,5.1749,61.8000,0.2248,0.2248,1.1018,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.5000,7,,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,,8.6690,61.2100,0.2165,0.2165,1.0832,0.0002,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.5000,8,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p5.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.6988,12.7714,3.6712,61.8800,0.2080,0.2080,1.0567,0.0002,2.0000,0.0000,True
