stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,1.9254,63.6100,,,,,,,False
pre_recovery,hybrid_tucker,0.1875,0,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7431,5.4012,4.3800,,,,,2.0000,0.0000,False
recovery_epoch,hybrid_tucker,0.1875,1,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,4.1010,35.2800,1.1249,1.1249,2.9755,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,2,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,5.8424,40.6000,0.9460,0.9460,2.5664,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,3,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,3.4789,44.7800,0.8877,0.8877,2.4082,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,4,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,4.2297,46.4200,0.8449,0.8449,2.2966,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,5,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,4.9054,49.6000,0.8170,0.8170,2.2193,0.0003,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,6,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,3.2734,50.9900,0.7929,0.7929,2.1594,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,7,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,4.3947,51.2900,0.7723,0.7723,2.0983,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,8,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,3.2251,52.4500,0.7533,0.7533,2.0526,0.0002,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,9,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,5.1658,53.1400,0.7435,0.7435,2.0168,0.0001,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,10,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,4.2500,53.5500,0.7289,0.7289,1.9801,0.0001,2.0000,0.0000,True
recovery_epoch,hybrid_tucker,0.1875,11,checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovered.pth,checkpoints/hybrid/hybrid_rank_ratio_0p1875.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1221976,4.6615,4.7350,5.7673,54.3700,0.7202,0.7202,1.9478,0.0001,2.0000,0.0000,True
